Temporada,Jornada,Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visitante,Resultado,Ganador,Juega_En_Casa,Probabilidad_Victoria_Local,Habilidad_Local,Habilidad_Visitante,Racha_Local,Racha_Visitante
3,12,Leones SC,Lobos Atlético,1,2,Victoria Visitante,Lobos Atlético,True,0.452,78,72,0,0
3,12,Lobos Atlético,Leones SC,0,0,Empate,Empate,True,0.753,72,78,1,0
3,12,Cóndores United,Zorros FC,3,1,Victoria Local,Cóndores United,True,0.689,60,65,0,0
3,13,Leones SC,Cóndores United,1,1,Empate,Empate,True,0.443,78,60,0,1
3,13,Pumas CF,Águilas United,4,3,Victoria Local,Pumas CF,True,0.528,68,82,1,0
3,13,Tigres FC,Lobos Atlético,5,4,Victoria Local,Tigres FC,True,0.769,85,72,2,0
3,13,Leones SC,Águilas United,4,3,Victoria Local,Leones SC,True,0.715,78,82,0,0
3,14,Zorros FC,Tigres FC,5,3,Victoria Local,Zorros FC,True,0.262,65,85,0,3
3,14,Zorros FC,Halcones City,4,3,Victoria Local,Zorros FC,True,0.95,65,75,1,0
3,14,Lobos Atlético,Halcones City,1,4,Victoria Visitante,Halcones City,True,0.27,72,75,0,0
3,14,Águilas United,Cóndores United,3,0,Victoria Local,Águilas United,True,0.597,82,60,0,0
4,1,Halcones City,Zorros FC,4,2,Victoria Local,Halcones City,True,0.693,75,65,0,0
4,1,Lobos Atlético,Leones SC,2,0,Victoria Local,Lobos Atlético,True,0.464,72,78,0,0
4,1,Leones SC,Águilas United,3,1,Victoria Local,Leones SC,True,0.708,78,82,0,0
4,1,Pumas CF,Leones SC,0,0,Empate,Empate,True,0.707,68,78,0,1
4,2,Zorros FC,Halcones City,2,0,Victoria Local,Zorros FC,True,0.435,65,75,0,1
4,2,Tigres FC,Lobos Atlético,3,3,Empate,Empate,True,0.386,85,72,0,1
4,2,Tigres FC,Águilas United,2,0,Victoria Local,Tigres FC,True,0.95,85,82,0,0
4,2,Leones SC,Pumas CF,2,3,Victoria Visitante,Pumas CF,True,0.581,78,68,0,0
4,3,Águilas United,Halcones City,4,4,Empate,Empate,True,0.811,82,75,0,0
4,3,Lobos Atlético,Tigres FC,1,3,Victoria Visitante,Tigres FC,True,0.414,72,85,0,1
4,3,Zorros FC,Lobos Atlético,0,2,Victoria Visitante,Lobos Atlético,True,0.878,65,72,1,0
4,3,Zorros FC,Tigres FC,2,4,Victoria Visitante,Tigres FC,True,0.134,65,85,0,2
4,4,Zorros FC,Pumas CF,3,1,Victoria Local,Zorros FC,True,0.619,65,68,0,1
4,4,Halcones City,Leones SC,3,2,Victoria Local,Halcones City,True,0.681,75,78,0,0
4,4,Cóndores United,Tigres FC,1,5,Victoria Visitante,Tigres FC,True,0.232,60,85,0,3
4,4,Águilas United,Lobos Atlético,1,1,Empate,Empate,True,0.569,82,72,0,1
4,5,Leones SC,Halcones City,2,3,Victoria Visitante,Halcones City,True,0.506,78,75,0,1
4,5,Halcones City,Cóndores United,3,2,Victoria Local,Halcones City,True,0.391,75,60,2,0
4,5,Halcones City,Lobos Atlético,1,2,Victoria Visitante,Lobos Atlético,True,0.55,75,72,3,0
4,5,Lobos Atlético,Halcones City,6,4,Victoria Local,Lobos Atlético,True,0.524,72,75,1,0
4,6,Leones SC,Zorros FC,1,3,Victoria Visitante,Zorros FC,True,0.612,78,65,0,1
4,6,Tigres FC,Cóndores United,1,1,Empate,Empate,True,0.569,85,60,4,0
4,6,Pumas CF,Zorros FC,5,3,Victoria Local,Pumas CF,True,0.55,68,65,0,2
4,6,Zorros FC,Cóndores United,2,1,Victoria Local,Zorros FC,True,0.95,65,60,0,0
4,7,Halcones City,Tigres FC,4,2,Victoria Local,Halcones City,True,0.95,75,85,0,0
4,7,Águilas United,Leones SC,1,2,Victoria Visitante,Leones SC,True,0.334,82,78,0,0
4,7,Águilas United,Zorros FC,2,1,Victoria Local,Águilas United,True,0.906,82,65,0,1
4,7,Cóndores United,Águilas United,3,5,Victoria Visitante,Águilas United,True,0.057,60,82,0,1
4,8,Pumas CF,Águilas United,2,2,Empate,Empate,True,0.472,68,82,1,2
4,8,Tigres FC,Pumas CF,2,2,Empate,Empate,True,0.699,85,68,0,0
4,8,Zorros FC,Águilas United,3,1,Victoria Local,Zorros FC,True,0.59,65,82,0,0
4,8,Cóndores United,Pumas CF,3,5,Victoria Visitante,Pumas CF,True,0.194,60,68,0,0
4,9,Cóndores United,Halcones City,4,2,Victoria Local,Cóndores United,True,0.455,60,75,0,1
4,9,Águilas United,Cóndores United,3,5,Victoria Visitante,Cóndores United,True,0.717,82,60,0,1
4,9,Halcones City,Águilas United,1,2,Victoria Visitante,Águilas United,True,0.371,75,82,0,0
4,9,Lobos Atlético,Águilas United,1,0,Victoria Local,Lobos Atlético,True,0.704,72,82,2,1
4,10,Cóndores United,Leones SC,1,3,Victoria Visitante,Leones SC,True,0.349,60,78,2,1
4,10,Águilas United,Tigres FC,2,4,Victoria Visitante,Tigres FC,True,0.312,82,85,0,0
4,10,Halcones City,Pumas CF,4,1,Victoria Local,Halcones City,True,0.574,75,68,0,1
4,10,Lobos Atlético,Cóndores United,1,2,Victoria Visitante,Cóndores United,True,0.718,72,60,3,0
4,11,Lobos Atlético,Pumas CF,2,1,Victoria Local,Lobos Atlético,True,0.569,72,68,0,0
4,11,Cóndores United,Lobos Atlético,1,0,Victoria Local,Cóndores United,True,0.647,60,72,1,1
4,11,Leones SC,Cóndores United,2,1,Victoria Local,Leones SC,True,0.69,78,60,2,2
4,11,Pumas CF,Lobos Atlético,3,2,Victoria Local,Pumas CF,True,0.637,68,72,0,0
4,12,Leones SC,Lobos Atlético,3,1,Victoria Local,Leones SC,True,0.611,78,72,3,0
4,12,Zorros FC,Leones SC,1,3,Victoria Visitante,Leones SC,True,0.284,65,78,1,4
4,12,Tigres FC,Halcones City,2,4,Victoria Visitante,Halcones City,True,0.318,85,75,1,1
4,12,Águilas United,Pumas CF,2,1,Victoria Local,Águilas United,True,0.78,82,68,0,1
4,13,Pumas CF,Cóndores United,3,4,Victoria Visitante,Cóndores United,True,0.544,68,60,0,0
4,13,Pumas CF,Halcones City,4,6,Victoria Visitante,Halcones City,True,0.232,68,75,0,2
4,13,Tigres FC,Zorros FC,4,1,Victoria Local,Tigres FC,True,0.586,85,65,0,0
4,13,Cóndores United,Zorros FC,3,5,Victoria Visitante,Zorros FC,True,0.665,60,65,1,0
4,14,Lobos Atlético,Zorros FC,3,3,Empate,Empate,True,0.839,72,65,0,1
4,14,Leones SC,Tigres FC,2,2,Empate,Empate,True,0.858,78,85,5,1
4,14,Tigres FC,Leones SC,3,2,Victoria Local,Tigres FC,True,0.438,85,78,0,0
4,14,Pumas CF,Tigres FC,2,2,Empate,Empate,True,0.683,68,85,0,1
5,1,Lobos Atlético,Cóndores United,1,1,Empate,Empate,True,0.355,72,60,0,0
5,1,Pumas CF,Águilas United,2,3,Victoria Visitante,Águilas United,True,0.528,68,82,0,0
5,1,Tigres FC,Zorros FC,3,0,Victoria Local,Tigres FC,True,0.911,85,65,0,0
5,1,Leones SC,Pumas CF,4,1,Victoria Local,Leones SC,True,0.613,78,68,0,0
5,2,Halcones City,Pumas CF,3,2,Victoria Local,Halcones City,True,0.549,75,68,0,0
5,2,Lobos Atlético,Águilas United,1,4,Victoria Visitante,Águilas United,True,0.293,72,82,0,1
5,2,Halcones City,Tigres FC,3,0,Victoria Local,Halcones City,True,0.662,75,85,1,1
5,2,Zorros FC,Halcones City,2,2,Empate,Empate,True,0.648,65,75,0,2
5,3,Lobos Atlético,Zorros FC,2,1,Victoria Local,Lobos Atlético,True,0.506,72,65,0,0
5,3,Lobos Atlético,Tigres FC,3,3,Empate,Empate,True,0.294,72,85,1,0
5,3,Tigres FC,Cóndores United,3,2,Victoria Local,Tigres FC,True,0.49,85,60,0,0
5,3,Lobos Atlético,Pumas CF,1,2,Victoria Visitante,Pumas CF,True,0.651,72,68,0,0
5,4,Zorros FC,Pumas CF,2,4,Victoria Visitante,Pumas CF,True,0.295,65,68,0,1
5,4,Tigres FC,Pumas CF,3,1,Victoria Local,Tigres FC,True,0.95,85,68,1,2
5,4,Cóndores United,Halcones City,1,2,Victoria Visitante,Halcones City,True,0.364,60,75,0,0
5,4,Tigres FC,Águilas United,4,2,Victoria Local,Tigres FC,True,0.749,85,82,2,2
5,5,Leones SC,Zorros FC,2,0,Victoria Local,Leones SC,True,0.688,78,65,1,0
5,5,Pumas CF,Leones SC,5,3,Victoria Local,Pumas CF,True,0.452,68,78,0,2
5,5,Halcones City,Leones SC,2,3,Victoria Visitante,Leones SC,True,0.762,75,78,1,0
5,5,Zorros FC,Leones SC,0,1,Victoria Visitante,Leones SC,True,0.306,65,78,0,1
5,6,Pumas CF,Cóndores United,0,0,Empate,Empate,True,0.278,68,60,1,0
5,6,Cóndores United,Águilas United,2,2,Empate,Empate,True,0.23,60,82,0,0
5,6,Halcones City,Águilas United,3,3,Empate,Empate,True,0.4,75,82,0,0
5,6,Leones SC,Lobos Atlético,3,3,Empate,Empate,True,0.95,78,72,2,0
5,7,Cóndores United,Lobos Atlético,1,2,Victoria Visitante,Lobos Atlético,True,0.266,60,72,0,0
5,7,Cóndores United,Zorros FC,3,2,Victoria Local,Cóndores United,True,0.476,60,65,0,0
5,7,Zorros FC,Cóndores United,4,6,Victoria Visitante,Cóndores United,True,0.117,65,60,0,1
5,7,Zorros FC,Tigres FC,5,3,Victoria Local,Zorros FC,True,0.314,65,85,0,3
5,8,Águilas United,Lobos Atlético,2,1,Victoria Local,Águilas United,True,0.319,82,72,0,1
5,8,Pumas CF,Halcones City,1,0,Victoria Local,Pumas CF,True,0.332,68,75,0,0
5,8,Halcones City,Cóndores United,1,3,Victoria Visitante,Cóndores United,True,0.825,75,60,0,2
5,8,Leones SC,Águilas United,0,2,Victoria Visitante,Águilas United,True,0.356,78,82,0,1
5,9,Cóndores United,Pumas CF,1,3,Victoria Visitante,Pumas CF,True,0.521,60,68,3,1
5,9,Lobos Atlético,Halcones City,2,3,Victoria Visitante,Halcones City,True,0.636,72,75,0,0
5,9,Águilas United,Zorros FC,3,2,Victoria Local,Águilas United,True,0.692,82,65,2,1
5,9,Cóndores United,Tigres FC,1,2,Victoria Visitante,Tigres FC,True,0.51,60,85,0,0
5,10,Halcones City,Zorros FC,3,2,Victoria Local,Halcones City,True,0.717,75,65,1,0
5,10,Águilas United,Pumas CF,2,2,Empate,Empate,True,0.646,82,68,3,2
5,10,Zorros FC,Lobos Atlético,1,3,Victoria Visitante,Lobos Atlético,True,0.401,65,72,0,0
5,10,Leones SC,Cóndores United,3,5,Victoria Visitante,Cóndores United,True,0.566,78,60,0,0
5,11,Águilas United,Halcones City,2,2,Empate,Empate,True,0.337,82,75,0,2
5,11,Cóndores United,Leones SC,1,2,Victoria Visitante,Leones SC,True,0.59,60,78,1,0
5,11,Zorros FC,Águilas United,0,0,Empate,Empate,True,0.567,65,82,0,0
5,11,Pumas CF,Zorros FC,2,1,Victoria Local,Pumas CF,True,0.602,68,65,0,0
5,12,Águilas United,Cóndores United,5,5,Empate,Empate,True,0.59,82,60,0,0
5,12,Tigres FC,Lobos Atlético,3,0,Victoria Local,Tigres FC,True,0.628,85,72,1,1
5,12,Pumas CF,Tigres FC,3,2,Victoria Local,Pumas CF,True,0.396,68,85,1,2
5,12,Tigres FC,Halcones City,6,5,Victoria Local,Tigres FC,True,0.57,85,75,0,0
5,13,Leones SC,Tigres FC,5,3,Victoria Local,Leones SC,True,0.425,78,85,1,1
5,13,Tigres FC,Leones SC,0,2,Victoria Visitante,Leones SC,True,0.68,85,78,0,2
5,13,Águilas United,Leones SC,2,1,Victoria Local,Águilas United,True,0.361,82,78,0,3
5,13,Halcones City,Lobos Atlético,4,0,Victoria Local,Halcones City,True,0.619,75,72,0,0
5,14,Pumas CF,Lobos Atlético,4,2,Victoria Local,Pumas CF,True,0.43,68,72,2,0
5,14,Águilas United,Tigres FC,1,0,Victoria Local,Águilas United,True,0.407,82,85,1,0
5,14,Lobos Atlético,Leones SC,2,3,Victoria Visitante,Leones SC,True,0.241,72,78,0,0
5,14,Leones SC,Halcones City,1,2,Victoria Visitante,Halcones City,True,0.062,78,75,1,1
